name,position,team,games_played,pass_yds,pass_td,rush_yds,rush_td,rec,rec_yds,rec_td,return_td,off_fumble_return_td,two_pt,fg_0_19,fg_20_29,fg_30_39,fg_40_49,fg_50_plus,pat_made,def_td,def_safety,def_return_td,def_xp_returned,def_points_allowed
Pittsburgh Steelers,DEF,PIT,,,,,,,,,,,,,,,,,,0,0,0,0,387.0
Puka Nacua,WR,LAR,16.0,0.0,0.0,105.0,1.0,129.0,1715.0,10.0,0.0,0,0.0,,,,,,,,,,,
Quentin Johnston,WR,LAC,14.0,0.0,0.0,7.0,0.0,51.0,735.0,8.0,0.0,0,0.0,,,,,,,,,,,
Quinn Ewers,QB,MIA,4.0,622.0,3.0,19.0,0.0,1.0,-6.0,0.0,0.0,0,0.0,,,,,,,,,,,
Quinshon Judkins,RB,CLE,14.0,0.0,0.0,827.0,7.0,26.0,171.0,0.0,0.0,0,1.0,,,,,,,,,,,
RJ Harvey,RB,DEN,17.0,0.0,0.0,540.0,7.0,47.0,356.0,5.0,0.0,0,0.0,,,,,,,,,,,
Rachaad White,RB,WSH,17.0,0.0,0.0,572.0,4.0,40.0,218.0,0.0,0.0,0,0.0,,,,,,,,,,,
Raheem Mostert,RB,LV,12.0,0.0,0.0,104.0,,12.0,70.0,,,0,,,,,,,,,,,,
Raheim Sanders,RB,CLE,4.0,0.0,0.0,92.0,1.0,3.0,21.0,0.0,0.0,0,0.0,,,,,,,,,,,
Rashee Rice,WR,KC,8.0,0.0,0.0,20.0,1.0,53.0,571.0,5.0,0.0,0,1.0,,,,,,,,,,,
Rasheen Ali,RB,BAL,15.0,0.0,0.0,24.0,0.0,9.0,68.0,1.0,0.0,0,0.0,,,,,,,,,,,
Rashid Shaheed,WR,SEA,18.0,0.0,0.0,69.0,0.0,59.0,687.0,2.0,0.0,0,0.0,,,,,,,,,,,
Rashod Bateman,WR,BAL,13.0,0.0,0.0,0.0,0.0,19.0,224.0,2.0,0.0,0,1.0,,,,,,,,,,,
Ray Davis,RB,BUF,17.0,0.0,0.0,275.0,0.0,10.0,86.0,2.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Rhamondre Stevenson,RB,NE,14.0,0.0,0.0,603.0,7.0,32.0,345.0,2.0,0.0,0,2.0,,,,,,,,,,,
Rico Dowdle,RB,PIT,17.0,0.0,0.0,1076.0,6.0,39.0,297.0,1.0,0.0,0,0.0,,,,,,,,,,,
Riley Leonard,QB,IND,5.0,415.0,2.0,27.0,2.0,0.0,-3.0,0.0,0.0,0,0.0,,,,,,,,,,,
Riley Patterson,K,MIA,17.0,,,,0.0,,,0.0,0.0,0,0.0,0.0,5.0,8.0,11.0,3.0,34.0,,,,,
Roman Wilson,WR,PIT,13.0,0.0,0.0,0.0,0.0,12.0,166.0,2.0,0.0,0,0.0,,,,,,,,,,,
Romeo Doubs,WR,NE,16.0,0.0,0.0,0.0,0.0,55.0,724.0,6.0,0.0,0,1.0,,,,,,,,,,,
Ronnie Rivers,RB,LAR,11.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,,,,,,,,,
Roschon Johnson,RB,CHI,7.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,,,,,,,,,
Russell Wilson,QB,NYG,6.0,831.0,3.0,106.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,,,,,,,,,
Ryan Fitzgerald,K,CAR,17.0,,,,0.0,,,0.0,0.0,0,0.0,0.0,6.0,8.0,8.0,2.0,27.0,,,,,
Ryan Flournoy,WR,DAL,16.0,0.0,0.0,25.0,0.0,40.0,475.0,4.0,0.0,0,0.0,,,,,,,,,,,
Sam Darnold,QB,SEA,17.0,4048.0,25.0,95.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,,,,,,,,,
Samaje Perine,RB,CIN,15.0,0.0,0.0,382.0,3.0,17.0,87.0,0.0,0.0,0,0.0,,,,,,,,,,,
San Francisco 49ers,DEF,SF,,,,,,,,,,,,,,,,,,0,0,0,0,371.0
Saquon Barkley,RB,PHI,16.0,0.0,0.0,1140.0,7.0,37.0,273.0,2.0,0.0,0,1.0,,,,,,,,,,,
Savion Williams,WR,GB,12.0,0.0,0.0,37.0,0.0,10.0,78.0,1.0,0.0,0,0.0,,,,,,,,,,,
Sean Tucker,RB,TB,17.0,0.0,0.0,320.0,7.0,8.0,34.0,1.0,0.0,0,0.0,,,,,,,,,,,
Seattle Seahawks,DEF,SEA,,,,,,,,,,,,,,,,,,0,0,0,0,292.0
Shedeur Sanders,QB,CLE,8.0,1400.0,7.0,169.0,1.0,0.0,0.0,0.0,0.0,0,0.0,,,,,,,,,,,
Skyy Moore,WR,GB,17.0,0.0,0.0,11.0,,5.0,87.0,,,0,,,,,,,,,,,,
Spencer Rattler,QB,NO,9.0,1586.0,8.0,167.0,0.0,1.0,0.0,0.0,0.0,0,0.0,,,,,,,,,,,
Spencer Shrader,K,IND,5.0,,,,0.0,,,0.0,0.0,0,0.0,0.0,5.0,5.0,2.0,1.0,14.0,,,,,
Stefon Diggs,WR,NE,17.0,0.0,0.0,0.0,0.0,85.0,1013.0,4.0,0.0,0,0.0,,,,,,,,,,,
Sterling Shepard,WR,TB,13.0,0.0,0.0,19.0,0.0,39.0,371.0,1.0,0.0,0,0.0,,,,,,,,,,,
Tahj Brooks,RB,CIN,16.0,0.0,0.0,45.0,0.0,1.0,9.0,0.0,0.0,0,0.0,,,,,,,,,,,
Tampa Bay Buccaneers,DEF,TB,,,,,,,,,,,,,,,,,,0,0,0,0,411.0
Tank Bigsby,RB,PHI,17.0,0.0,0.0,356.0,2.0,3.0,32.0,0.0,0.0,0,0.0,,,,,,,,,,,
Tanner Conner,TE,NYG,9.0,0.0,0.0,0.0,0.0,9.0,91.0,0.0,0.0,0,0.0,,,,,,,,,,,
Tanner Hudson,TE,CIN,15.0,0.0,0.0,0.0,0.0,19.0,168.0,2.0,0.0,0,0.0,,,,,,,,,,,
Tanner McKee,QB,PHI,4.0,274.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,,,,,,,,,
Taysom Hill,QB,NO,13.0,57.0,1.0,114.0,1.0,11.0,91.0,0.0,0.0,0,0.0,,,,,,,,,,,
Tee Higgins,WR,CIN,15.0,0.0,0.0,0.0,0.0,59.0,846.0,11.0,0.0,0,1.0,,,,,,,,,,,
Tennessee Titans,DEF,TEN,,,,,,,,,,,,,,,,,,0,0,0,0,478.0
Terrance Ferguson,TE,LAR,14.0,0.0,0.0,0.0,0.0,11.0,231.0,3.0,0.0,0,0.0,,,,,,,,,,,
Terrell Jennings,RB,NE,7.0,0.0,0.0,73.0,1.0,1.0,9.0,0.0,0.0,0,0.0,,,,,,,,,,,
