name,position,team,games_played,pass_yds,pass_td,rush_yds,rush_td,rec,rec_yds,rec_td,return_td,off_fumble_return_td,two_pt,fg_0_19,fg_20_29,fg_30_39,fg_40_49,fg_50_plus,pat_made,def_td,def_safety,def_return_td,def_xp_returned,def_points_allowed
Jayden Daniels,QB,WSH,7.0,1262.0,8.0,278.0,2.0,0.0,0.0,0.0,0.0,0,0.0,,,,,,,,,,,
Jayden Reed,WR,GB,7.0,0.0,0.0,28.0,0.0,19.0,207.0,1.0,0.0,0,0.0,,,,,,,,,,,
Jaydon Blue,RB,DAL,5.0,0.0,0.0,129.0,1.0,1.0,5.0,0.0,0.0,0,0.0,,,,,,,,,,,
Jaylen Waddle,WR,DEN,16.0,8.0,0.0,28.0,0.0,64.0,910.0,6.0,0.0,0,0.0,,,,,,,,,,,
Jaylen Warren,RB,PIT,16.0,0.0,0.0,958.0,6.0,40.0,333.0,2.0,0.0,0,0.0,,,,,,,,,,,
Jaylen Wright,RB,MIA,10.0,0.0,0.0,288.0,2.0,5.0,44.0,0.0,0.0,0,0.0,,,,,,,,,,,
Jaylin Lane,WR,WSH,15.0,0.0,0.0,7.0,,16.0,225.0,,,0,,,,,,,,,,,,
Jaylin Noel,WR,HOU,17.0,0.0,0.0,12.0,0.0,26.0,292.0,2.0,0.0,0,0.0,,,,,,,,,,,
Jeremy McNichols,RB,WSH,17.0,0.0,0.0,221.0,1.0,25.0,196.0,0.0,0.0,0,1.0,,,,,,,,,,,
Jeremy Ruckert,TE,NYJ,17.0,0.0,0.0,0.0,0.0,23.0,179.0,1.0,0.0,0,0.0,,,,,,,,,,,
Jerome Ford,RB,WSH,13.0,0.0,0.0,73.0,,26.0,103.0,,,0,,,,,,,,,,,,
Jimmy Horn Jr.,WR,CAR,13.0,0.0,0.0,69.0,0.0,11.0,108.0,0.0,0.0,0,0.0,,,,,,,,,,,
Joe Burrow,QB,CIN,8.0,1809.0,17.0,41.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,,,,,,,,,
Joe Flacco,QB,CIN,13.0,2479.0,15.0,35.0,1.0,0.0,0.0,0.0,0.0,0,0.0,,,,,,,,,,,
Joe Milton III,QB,DAL,4.0,183.0,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,,,,,,,,,
Joey Slye,K,TEN,16.0,,,,0.0,,,0.0,0.0,0,0.0,0.0,6.0,6.0,7.0,9.0,26.0,,,,,
John Bates,TE,WSH,15.0,0.0,0.0,0.0,0.0,11.0,103.0,1.0,0.0,0,0.0,,,,,,,,,,,
John Metchie III,WR,CAR,16.0,0.0,0.0,-5.0,0.0,33.0,274.0,2.0,0.0,0,0.0,,,,,,,,,,,
Johnny Mundt,TE,PHI,16.0,0.0,0.0,0.0,0.0,9.0,111.0,0.0,0.0,0,0.0,,,,,,,,,,,
Jonathan Taylor,RB,IND,17.0,0.0,0.0,1585.0,18.0,46.0,378.0,2.0,0.0,0,1.0,,,,,,,,,,,
Jonnu Smith,TE,PIT,17.0,0.0,0.0,70.0,1.0,38.0,222.0,2.0,0.0,0,0.0,,,,,,,,,,,
Jordan Addison,WR,MIN,14.0,0.0,0.0,81.0,1.0,42.0,610.0,3.0,0.0,0,0.0,,,,,,,,,,,
Jordan Love,QB,GB,15.0,3381.0,23.0,199.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,,,,,,,,,
Jordan Mason,RB,MIN,16.0,0.0,0.0,758.0,6.0,14.0,51.0,0.0,0.0,0,0.0,,,,,,,,,,,
Jordan Whittington,WR,LAR,17.0,0.0,0.0,12.0,0.0,18.0,171.0,0.0,0.0,0,0.0,,,,,,,,,,,
Josh Allen,QB,BUF,17.0,3668.0,25.0,579.0,14.0,0.0,0.0,0.0,0.0,0,0.0,,,,,,,,,,,
Josh Jacobs,RB,GB,15.0,0.0,0.0,929.0,13.0,36.0,282.0,1.0,0.0,0,0.0,,,,,,,,,,,
Josh Johnson,QB,CIN,5.0,372.0,1.0,55.0,1.0,0.0,0.0,0.0,0.0,0,0.0,,,,,,,,,,,
Josh Oliver,TE,MIN,15.0,0.0,0.0,0.0,0.0,15.0,160.0,4.0,0.0,0,0.0,,,,,,,,,,,
Josh Reynolds,WR,NYJ,5.0,0.0,0.0,0.0,0.0,11.0,101.0,0.0,0.0,0,1.0,,,,,,,,,,,
Josh Williams,RB,TB,3.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,,,,,,,,,
Joshua Karty,K,ARI,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,3.0,3.0,3.0,1.0,23.0,,,,,
Joshua Palmer,WR,BUF,12.0,0.0,0.0,0.0,,22.0,303.0,,,0,,,,,,,,,,,,
JuJu Smith-Schuster,WR,NYG,17.0,0.0,0.0,0.0,0.0,33.0,345.0,1.0,0.0,0,0.0,,,,,,,,,,,
Jude McAtamney,K,NYG,4.0,,,,0.0,,,0.0,0.0,0,0.0,0.0,1.0,1.0,0.0,0.0,9.0,,,,,
Julian Hill,TE,NE,14.0,0.0,0.0,0.0,0.0,15.0,140.0,0.0,0.0,0,1.0,,,,,,,,,,,
Julius Chestnut,RB,TEN,17.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,,,,,,,,,
Justice Hill,RB,BAL,10.0,0.0,0.0,93.0,2.0,21.0,169.0,1.0,0.0,0,0.0,,,,,,,,,,,
Justin Fields,QB,KC,9.0,1259.0,7.0,383.0,4.0,0.0,0.0,0.0,0.0,0,2.0,,,,,,,,,,,
Justin Herbert,QB,LAC,16.0,3727.0,26.0,498.0,2.0,0.0,0.0,0.0,0.0,0,1.0,,,,,,,,,,,
Justin Jefferson,WR,MIN,17.0,0.0,0.0,7.0,0.0,84.0,1048.0,2.0,0.0,0,0.0,,,,,,,,,,,
Juwan Johnson,TE,NO,17.0,0.0,0.0,0.0,0.0,77.0,889.0,3.0,0.0,0,0.0,,,,,,,,,,,
Ka'imi Fairbairn,K,HOU,15.0,,,,0.0,,,0.0,0.0,0,0.0,0.0,8.0,11.0,16.0,9.0,28.0,,,,,
KaVontae Turpin,WR,DAL,15.0,0.0,0.0,89.0,0.0,26.0,396.0,2.0,0.0,0,0.0,,,,,,,,,,,
Kaleb Johnson,RB,PIT,10.0,0.0,0.0,69.0,,1.0,9.0,,,0,,,,,,,,,,,,
Kalif Raymond,WR,CHI,15.0,0.0,0.0,19.0,0.0,24.0,289.0,1.0,0.0,0,0.0,,,,,,,,,,,
Kameron Johnson,WR,TB,17.0,0.0,0.0,13.0,0.0,4.0,64.0,1.0,0.0,0,0.0,,,,,,,,,,,
Kansas City Chiefs,DEF,KC,,,,,,,,,,,,,,,,,,0,0,0,0,328.0
Kareem Hunt,RB,KC,17.0,0.0,0.0,611.0,8.0,18.0,143.0,1.0,0.0,0,0.0,,,,,,,,,,,
Ke'Shawn Williams,WR,CIN,11.0,0.0,0.0,10.0,,1.0,5.0,,,0,,,,,,,,,,,,
Keaton Mitchell,RB,LAC,13.0,0.0,0.0,341.0,1.0,9.0,63.0,0.0,0.0,0,0.0,,,,,,,,,,,
Keenan Allen,WR,LAC,17.0,0.0,0.0,0.0,0.0,81.0,777.0,4.0,0.0,0,0.0,,,,,,,,,,,
Kendre Miller,RB,NO,7.0,0.0,0.0,193.0,1.0,5.0,30.0,0.0,0.0,0,0.0,,,,,,,,,,,
Kene Nwangwu,RB,NYJ,12.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,,,,,,,,,
Kenneth Walker III,RB,KC,17.0,0.0,0.0,1027.0,5.0,31.0,282.0,0.0,0.0,0,0.0,,,,,,,,,,,
Kenny Gainwell,RB,TB,17.0,0.0,0.0,537.0,5.0,73.0,486.0,3.0,0.0,0,0.0,,,,,,,,,,,
Kenny Pickett,QB,CAR,6.0,188.0,1.0,22.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,,,,,,,,,
Keon Coleman,WR,BUF,13.0,0.0,0.0,0.0,0.0,38.0,404.0,4.0,0.0,0,1.0,,,,,,,,,,,
Kevin Austin Jr.,WR,NO,8.0,0.0,0.0,0.0,0.0,13.0,140.0,1.0,0.0,0,0.0,,,,,,,,,,,
Khalil Herbert,RB,NYJ,7.0,0.0,0.0,52.0,0.0,1.0,4.0,0.0,0.0,0,0.0,,,,,,,,,,,
Khalil Shakir,WR,BUF,16.0,0.0,0.0,5.0,0.0,72.0,719.0,4.0,0.0,0,0.0,,,,,,,,,,,
Kimani Vidal,RB,LAC,13.0,0.0,0.0,643.0,3.0,16.0,136.0,1.0,0.0,0,0.0,,,,,,,,,,,
