flock_list_no,name,position,team,age,games_played,snap_pct,fpts,pos_rank,overall_rank
170,Zach Charbonnet,RB,SEA,25.5,16,48.78,11.34,28,59
86,J.K. Dobbins,RB,DEN,27.6,10,52.05,11.59,27,120
262,Tua Tagovailoa,QB,ATL,28.4,14,95.89,11.48,34,25
283,Michael Penix,QB,ATL,26.2,9,93.17,13.36,29,33
146,Antonio Williams,WR,WAS,22.0,,,,,
147,Jalen McMillan,WR,TB,24.6,4,52.25,7.48,63,282
148,Chris Bell,WR,MIA,22.0,,,,,
149,Tyler Allgeier,RB,ARI,26.2,17,29.56,7.24,48,110
124,Chris Rodriguez,RB,JAX,26.8,13,31.46,7.08,50,148
173,Nicholas Singleton,RB,TEN,22.5,,,,,
135,Tyrone Tracy,RB,NYG,26.6,15,55.39,10.72,31,79
153,Brandon Aiyuk,WR,SF,28.3,0,,0.0,,
154,Elijah Sarratt,WR,BAL,23.1,,,,,
111,Jordan Mason,RB,MIN,27.1,16,43.91,8.06,44,100
156,Cole Beck,WR,,31.3,,,,,
282,Max Klare,TE,LAR,23.0,,,,,
301,Carson Beck,QB,ARI,23.6,,,,,
139,Woody Marks,RB,HOU,25.5,16,52.83,9.44,34,80
309,Drew Allar,QB,PIT,22.3,,,,,
144,Dallas Goedert,TE,PHI,31.5,15,85.01,12.34,6,56
145,Chig Okonkwo,TE,WAS,26.8,17,63.06,7.29,27,109
163,Khalil Shakir,WR,BUF,26.4,16,61.44,10.4,44,74
164,De'Zhaun Stribling,WR,SF,23.6,,,,,
165,Jauan Jennings,WR,MIN,29.0,15,82.54,11.55,34,68
129,Mark Andrews,TE,BAL,30.8,17,62.94,7.71,24,97
164,T.J. Hockenson,TE,MIN,29.0,15,79.93,7.52,26,126
110,Aaron Jones,RB,MIN,31.6,12,58.55,9.89,32,114
169,AJ Barner,TE,SEA,24.2,17,78.75,8.66,21,82
157,Dylan Sampson,RB,CLE,21.8,15,25.95,5.84,59,160
171,Rashid Shaheed,WR,SEA,27.9,18,59.28,8.03,58,86
141,Isiah Pacheco,RB,DET,27.4,13,51.88,6.72,52,161
173,Zachariah Branch,WR,ATL,22.3,,,,,
167,Kaytron Allen,RB,WAS,23.5,,,,,
175,Deebo Samuel,WR,,30.5,16,72.78,11.76,33,51
176,Jaylin Noel,WR,HOU,23.8,17,27.45,4.02,110,191
177,Troy Franklin,WR,DEN,23.4,17,60.19,10.42,43,65
285,Shedeur Sanders,QB,CLE,24.4,8,93.62,10.61,40,37
153,Tyjae Spears,RB,TEN,25.1,13,46.38,8.59,39,127
121,Travis Kelce,TE,KC,36.8,17,83.21,11.36,9,48
209,Terrance Ferguson,TE,LAR,23.3,14,38.54,3.72,47,223
313,Mac Jones,QB,SF,27.8,11,74.96,11.82,32,30
195,Gunnar Helm,TE,TEN,23.8,16,52.77,5.73,35,149
184,Stefon Diggs,WR,,32.6,17,56.59,12.37,25,37
185,Ja'Kobi Lane,WR,BAL,21.9,,,,,
186,Jack Bech,WR,LV,23.6,16,36.71,2.65,139,245
187,Chris Brazzell II,WR,CAR,22.0,,,,,
188,Ted Hurst,WR,TB,22.0,,,,,
189,Tre Harris,WR,LAC,24.4,17,48.26,4.08,108,190
190,Kayshon Boutte,WR,NE,24.2,14,69.22,8.86,53,108
260,Eli Raridon,TE,NE,22.4,,,,,
192,Charlie Kolar,TE,LAC,27.4,17,38.57,2.13,65,260
180,Emmett Johnson,RB,KC,22.7,,,,,
201,Braelon Allen,RB,NYJ,22.5,4,24.06,3.83,75,334
195,Tory Horton,WR,SEA,23.6,8,46.83,7.39,64,208
190,Demond Claiborne,RB,MIN,22.8,,,,,
197,Elic Ayomanor,WR,TEN,23.1,16,80.72,7.28,65,118
159,Tank Bigsby,RB,PHI,24.9,17,12.88,3.16,81,219
174,Alvin Kamara,RB,NO,31.0,11,57.36,9.15,35,135
278,Kaleb Johnson,RB,PIT,22.9,10,,8.8,,
201,Chimere Dike,WR,TEN,23.6,17,59.8,6.71,72,122
263,Kaelon Black,RB,SF,24.7,,,,,
203,Jerry Jeudy,WR,CLE,27.2,17,86.67,7.1,68,113
206,Jacoby Brissett,QB,ARI,33.6,14,86.65,16.25,18,16
311,J.J. McCarthy,QB,MIN,23.5,10,90.95,12.54,31,32
206,Isaac TeSlaa,WR,DET,24.4,17,39.87,4.46,100,175
224,Geno Smith,QB,NYJ,35.7,15,97.04,11.59,33,24
208,Malachi Fields,WR,NYG,22.0,,,,,
200,David Njoku,TE,LAC,30.0,12,64.84,7.19,28,163
210,Tyreek Hill,WR,,32.4,4,69.05,13.38,18,220
162,Hunter Henry,TE,NE,31.6,17,79.28,10.52,13,62
212,Keon Coleman,WR,BUF,23.1,13,66.28,7.88,59,134
165,Brian Robinson,RB,ATL,27.3,17,15.92,3.68,77,201
214,Adonai Mitchell,WR,NYJ,23.8,16,49.89,5.62,88,152
166,Juwan Johnson,TE,NO,29.8,17,65.06,10.58,12,61
216,Tre Tucker,WR,LV,25.3,17,95.42,9.51,50,77
185,Mike Washington Jr.,RB,LV,23.0,,,,,
218,Skyler Bell,WR,BUF,24.0,,,,,
219,Malik Washington,WR,MIA,25.5,17,57.51,6.51,73,128
171,Dalton Schultz,TE,HOU,30.0,17,72.36,10.45,15,64
203,Aaron Rodgers,QB,PIT,42.6,16,95.98,14.19,25,17
222,Tez Johnson,WR,TB,24.1,16,47.31,5.78,81,146
223,Pat Bryant,WR,DEN,23.6,15,47.26,4.99,96,178
279,Trey Benson,RB,ARI,24.0,4,49.01,8.85,37,263
212,Cade Otton,TE,TB,27.2,16,93.17,7.64,25,111
213,Pat Freiermuth,TE,PIT,27.7,17,50.53,6.68,31,124
275,Mason Taylor,TE,NYJ,22.2,13,81.48,6.84,30,155
146,Keaton Mitchell,RB,LAC,24.5,13,15.93,4.26,71,214
183,Greg Dulcich,TE,MIA,26.3,10,41.24,6.28,33,199
230,Caleb Douglas,WR,MIA,22.8,,,,,
306,Oscar Delp,TE,NO,22.9,,,,,
267,Justin Joly,TE,DEN,22.0,,,,,
233,Calvin Ridley,WR,TEN,31.6,7,58.58,6.76,71,238
304,Anthony Richardson,QB,IND,24.1,2,9.16,1.08,,
265,Deshaun Watson,QB,CLE,30.8,,,,,
236,Kyle Williams,WR,NE,23.7,17,30.13,2.89,135,229
299,Theo Johnson,TE,NYG,25.4,15,86.24,8.52,23,102
288,Devin Neal,RB,NO,22.9,11,32.11,5.45,61,204
221,Adam Randall,RB,BAL,22.0,,,,,
251,DJ Giddens,RB,IND,22.9,10,9.57,0.96,99,362
241,Darnell Mooney,WR,NYG,28.7,15,82.35,5.49,89,170
205,Elijah Arroyo,TE,SEA,23.3,13,39.24,2.84,57,257
229,Jordan James,RB,SF,22.3,3,0.0,0.0,,
215,Kimani Vidal,RB,LAC,24.9,13,55.41,9.07,36,116
197,Ray Davis,RB,BUF,26.7,17,,58.1,,
246,Taysom Hill,TE,,35.9,13,20.35,3.21,53,246
315,Justin Fields,QB,KC,27.3,9,90.62,15.85,20,28
248,Xavier Legette,WR,CAR,25.4,15,69.72,5.95,78,154
237,James Conner,RB,ARI,31.2,3,50.53,11.1,,
223,Jaydon Blue,RB,DAL,22.5,5,24.67,4.08,72,310
296,Kirk Cousins,QB,LV,37.9,11,76.14,9.41,43,35
308,Cade Klubnik,QB,NYJ,22.7,,,,,
253,Keenan Allen,WR,,34.2,17,55.9,10.75,40,58
280,Michael Mayer,TE,LV,25.0,13,60.28,5.68,36,180
255,Bryce Lance,WR,NO,23.0,,,,,
256,Jalen Nailor,WR,LV,27.4,17,66.73,5.92,79,135
257,Tank Dell,WR,HOU,26.7,,,,,
258,Jack Endries,TE,CIN,22.0,,,,,
243,Ollie Gordon II,RB,MIA,22.5,17,22.11,3.18,80,217
260,Joe Mixon,RB,,30.0,,,,,
268,Colby Parkinson,TE,LAR,27.5,15,61.8,8.65,22,98
187,Emanuel Wilson,RB,SEA,27.2,17,31.01,5.56,60,143
263,Cedric Tillman,WR,CLE,26.2,13,63.36,4.62,98,204
230,Ja'Tavion Sanders,TE,CAR,23.3,13,49.49,4.15,44,218
265,Jalen Milroe,QB,SEA,23.6,3,1.76,-0.53,,
266,Rashod Bateman,WR,BAL,26.6,13,69.42,4.26,105,214
267,Ryan Flournoy,WR,DAL,26.7,16,43.19,7.13,67,123
268,Eli Heidenreich,RB,PIT,23.0,,,,,
269,Cooper Kupp,WR,SEA,33.1,16,76.66,7.27,66,119
270,Dontayvion Wicks,WR,PHI,25.1,14,48.57,5.41,90,176
271,Devaughn Vele,WR,NO,28.6,13,45.31,5.1,94,194
168,Sean Tucker,RB,TB,24.7,17,15.39,5.38,62,150
196,Brashard Smith,RB,KC,23.2,17,17.06,3.72,76,198
270,Evan Engram,TE,DEN,31.9,16,42.16,6.43,32,133
255,Isaiah Davis,RB,NYJ,24.4,16,28.21,4.45,68,185
277,Jaylen Wright,RB,MIA,23.3,10,20.8,4.82,65,234
277,Hollywood Brown,WR,PHI,29.1,16,53.86,8.61,54,91
278,Jarquez Hunter,RB,LAR,23.5,5,58.77,0.0,118,435
279,Jam Miller,RB,NE,22.2,,,,,
269,Seth McGowan,RB,IND,24.0,,,,,
219,Najee Harris,RB,,28.3,3,20.0,3.87,,
282,Cole Payton,QB,PHI,23.7,,,,,
283,Zach Wilson,QB,NO,26.9,4,10.21,0.35,62,62
256,Kendre Miller,RB,NO,24.1,7,23.45,4.76,66,267
285,Brenen Thompson,WR,LAC,23.0,,,,,
286,Kevin Coleman Jr.,WR,MIA,22.8,,,,,
287,Ben Sinnott,TE,WAS,24.1,16,33.53,1.78,73,288
264,Isaac Guerendo,RB,SF,26.0,14,0.0,0.0,118,435
289,Taylen Green,QB,CLE,23.7,,,,,
290,Gardner Minshew,QB,ARI,30.1,4,14.93,-0.08,65,65
291,Marvin Mims,WR,DEN,24.3,15,37.96,5.8,80,162
295,Trevor Etienne,RB,CAR,22.0,17,4.32,0.81,102,343
293,Tahj Brooks,RB,CIN,24.2,16,4.38,0.4,109,380
294,Desmond Reid,RB,,21.9,,,,,
295,Ja'Lynn Polk,WR,NO,24.2,,,,,
296,J'Mari Taylor,RB,JAX,24.0,,,,,
297,Raheim Sanders,RB,CLE,24.0,4,23.67,5.08,64,312
234,George Holani,RB,SEA,26.6,11,4.53,1.35,94,337
299,Dont'e Thornton Jr.,WR,LV,23.6,15,45.05,1.57,160,303
300,Barion Brown,WR,NO,22.6,,,,,
301,Jaydn Ott,RB,KC,23.6,,,,,
