name,position,team,pass_yds,pass_td,rush_yds,rush_td,rec,rec_yds,rec_td,return_td,off_fumble_return_td,two_pt,fg_0_19,fg_20_29,fg_30_39,fg_40_49,fg_50_plus,pat_made,def_td,def_safety,def_return_td,def_xp_returned,def_points_allowed
Jonathan Taylor,RB,IND,0.0,0.0,1811.0,18.0,40.0,360.0,2.0,0.0,0,0.0,,,,,,,,,,,
Jonathan Ward,RB,ARI,0.0,0.0,33.0,0.0,3.0,34.0,0.0,0.0,0,0.0,,,,,,,,,,,
Jonathan Williams,RB,WSH,0.0,0.0,79.0,1.0,4.0,28.0,0.0,0.0,0,0.0,,,,,,,,,,,
Jonnu Smith,TE,NE,0.0,0.0,40.0,0.0,28.0,294.0,1.0,0.0,0,0.0,,,,,,,,,,,
Jordan Akins,TE,HOU,0.0,0.0,3.0,0.0,24.0,214.0,0.0,0.0,0,0.0,,,,,,,,,,,
Jordan Howard,RB,PHI,0.0,0.0,406.0,3.0,2.0,19.0,0.0,0.0,0,0.0,,,,,,,,,,,
Jordan Love,QB,GB,411.0,2.0,27.0,0.0,0.0,0.0,0.0,0.0,0,1.0,,,,,,,,,,,
Josh Allen,QB,BUF,4407.0,36.0,763.0,6.0,0.0,0.0,0.0,0.0,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Josh Jacobs,RB,LV,0.0,0.0,872.0,9.0,54.0,348.0,0.0,0.0,0,0.0,,,,,,,,,,,
Josh Johnson,QB,BAL,638.0,5.0,28.0,0.0,0.0,0.0,0.0,0.0,0,1.0,,,,,,,,,,,
