timestamp,date_raw,team,type,player_added_raw,player_added_resolved,player_added_nfl_team,player_added_pos,player_dropped_raw,player_dropped_resolved,player_dropped_nfl_team,player_dropped_pos,counterparty_team,raw_line
2025-09-17T21:34:00,"Sep 17, 9:34pm",Elite,waiver,Troy Franklin,Troy Franklin,DEN,WR,,,,,,"Troy Franklin Den-WR Q — Elite — Sep 17, 9:34pm"
2025-09-17T21:39:00,"Sep 17, 9:39pm",ChronicMasterdeflatr,waiver,Jake Browning,Jake Browning,TB,QB,Travis Hunter,Travis Hunter,JAX,WR,,"Jake Browning TB-QB (Free Agent) / Travis Hunter Jax-WR Q (To Free Agent) — ChronicMasterdeflatr — Sep 17, 9:39pm"
2025-09-17T21:42:00,"Sep 17, 9:42pm",ChronicMasterdeflatr,waiver,Joey Slye,Joey Slye,TEN,K,Matt Gay,Matt Gay,LV,K,,"Joey Slye Ten-K (Free Agent) / Matt Gay LV-K (To Free Agent) — ChronicMasterdeflatr — Sep 17, 9:42pm"
2025-09-17T22:08:00,"Sep 17, 10:08pm",Hoofers,waiver,Cooper Kupp,Cooper Kupp,SEA,WR,Marquise Brown,Marquise Brown,PHI,WR,,"Cooper Kupp Sea-WR (Free Agent) / Hollywood Brown Phi-WR (To Free Agent) — Hoofers — Sep 17, 10:08pm"
2025-09-24T16:42:00,"Sep 24, 4:42pm",Wildcard,waiver,Geno Smith,Geno Smith,NYJ,QB,Michael Penix Jr.,Michael Penix Jr.,ATL,QB,,"Geno Smith NYJ-QB Q (Free Agent) / Michael Penix Jr. Atl-QB Q (To Free Agent) — Wildcard — Sep 24, 4:42pm"
2025-09-24T16:51:00,"Sep 24, 4:51pm",Wildcard,waiver,Trey Benson,Trey Benson,ARI,RB,Najee Harris,Najee Harris,LAC,RB,,"Trey Benson Ari-RB Q (Free Agent) / Najee Harris LAC-RB NA (To Free Agent) — Wildcard — Sep 24, 4:51pm"
2025-09-24T17:02:00,"Sep 24, 5:02pm",ChronicMasterdeflatr,waiver,Cam Skattebo,Cam Skattebo,NYG,RB,Jake Browning,Jake Browning,TB,QB,,"Cam Skattebo NYG-RB Q (Free Agent) / Jake Browning TB-QB (To Free Agent) — ChronicMasterdeflatr — Sep 24, 5:02pm"
2025-09-24T17:03:00,"Sep 24, 5:03pm",ChronicMasterdeflatr,waiver,Los Angeles Chargers,Los Angeles Chargers,LAC,DEF,Baltimore Ravens,Baltimore Ravens,BAL,DEF,,"Chargers LAC-DEF (Free Agent) / Ravens Bal-DEF (To Free Agent) — ChronicMasterdeflatr — Sep 24, 5:03pm"
2025-09-24T19:05:00,"Sep 24, 7:05pm",Elite,waiver,RJ Harvey,RJ Harvey,DEN,RB,,,,,,"RJ Harvey Den-RB Q — Elite — Sep 24, 7:05pm"
2025-09-24T19:05:00,"Sep 24, 7:05pm",Elite,waiver,,,,,D'Andre Swift,D'Andre Swift,CHI,RB,,"D'Andre Swift Chi-RB (To Free Agent) — Elite — Sep 24, 7:05pm"
2025-09-24T19:09:00,"Sep 24, 7:09pm",Elite,waiver,Houston Texans,Houston Texans,HOU,DEF,,,,,,"Texans Hou-DEF — Elite — Sep 24, 7:09pm"
